Epoch 360 | Train 0.4613 | Val 0.4624 | LR 0.0000537 | mIoU 0.7098
Epoch 361 | Train 0.4604 | Val 0.4668 | LR 0.0000530 | mIoU 0.7054
Epoch 362 | Train 0.4584 | Val 0.4642 | LR 0.0000523 | mIoU 0.7024
Epoch 363 | Train 0.4630 | Val 0.4613 | LR 0.0000516 | mIoU 0.7056
Epoch 364 | Train 0.4575 | Val 0.4647 | LR 0.0000509 | mIoU 0.7086
Epoch 365 | Train 0.4561 | Val 0.4565 | LR 0.0000502 | mIoU 0.7134
Epoch 366 | Train 0.4565 | Val 0.4578 | LR 0.0000495 | mIoU 0.7055
Epoch 367 | Train 0.4604 | Val 0.4578 | LR 0.0000488 | mIoU 0.7056
Epoch 368 | Train 0.4512 | Val 0.4640 | LR 0.0000481 | mIoU 0.7062
Epoch 369 | Train 0.4519 | Val 0.4634 | LR 0.0000474 | mIoU 0.7090
Epoch 370 | Train 0.4554 | Val 0.4651 | LR 0.0000467 | mIoU 0.7052
Epoch 371 | Train 0.4542 | Val 0.4587 | LR 0.0000460 | mIoU 0.7095
Epoch 372 | Train 0.4596 | Val 0.4610 | LR 0.0000454 | mIoU 0.7061
Epoch 373 | Train 0.4504 | Val 0.4668 | LR 0.0000447 | mIoU 0.7120
Epoch 374 | Train 0.4484 | Val 0.4657 | LR 0.0000440 | mIoU 0.7083
Epoch 375 | Train 0.4558 | Val 0.4597 | LR 0.0000434 | mIoU 0.7096
Epoch 376 | Train 0.4515 | Val 0.4624 | LR 0.0000427 | mIoU 0.7109
